last_name, first_name,player_id,year,cu_avg_spin,cu_avg_break_x,cu_avg_break_z,
Wainwright, Adam,425794,2020,2791,16.8,-65.5,
Greinke, Zack,425844,2020,2428,10.6,-66.6,
Sanchez, Anibal,434671,2020,2027,4,-48.6,
Hill, Rich,448179,2020,2848,-19.1,-65.2,
Morton, Charlie,450203,2020,2887,17.9,-54.1,
Lester, Jon,452657,2020,2569,-10.6,-55.6,
Scherzer, Max,453286,2020,2782,14.4,-55,
Arrieta, Jake,453562,2020,2652,12.2,-50.8,
Cueto, Johnny,456501,2020,2337,3.4,-41.7,
Happ, J.A.,457918,2020,2187,-3.2,-42.1,
Lindblom, Josh,458676,2020,2736,16.2,-67.8,
Lynn, Lance,458681,2020,2618,4.4,-42.7,
Tomlin, Josh,458708,2020,2712,4.3,-52.5,
Gonzalez, Gio,461829,2020,2708,-11.9,-61.3,
Carrasco, Carlos,471911,2020,2928,9.4,-46.2,
Anderson, Brett,474463,2020,2480,-6.8,-60.2,
Kershaw, Clayton,477132,2020,2536,-4.3,-65.7,
Minor, Mike,501985,2020,2548,-7.7,-54.8,
Gibson, Kyle,502043,2020,2418,6.3,-52.6,
Cobb, Alex,502171,2020,2579,4,-53.3,
Anderson, Chase,502624,2020,2102,6.3,-61.2,
Holland, Derek,502706,2020,2227,-0.4,-39.9,
Darvish, Yu,506433,2020,2730,9.9,-58.7,
Bumgarner, Madison,518516,2020,2493,-11.1,-48.5,
Duffy, Danny,518633,2020,2302,-7.9,-61.1,
Porcello, Rick,519144,2020,2588,10.1,-53.9,
Perez, Martin,527048,2020,2521,-5.5,-50.4,
Anderson, Tyler,542881,2020,2334,-2.9,-65.6,
Cole, Gerrit,543037,2020,2803,9.5,-50.8,
DeSclafani, Anthony,543101,2020,1794,7.1,-48.7,
Eovaldi, Nathan,543135,2020,2110,8.6,-50.9,
Gray, Sonny,543243,2020,2954,15.2,-54.7,
Hendricks, Kyle,543294,2020,2810,14.3,-66.3,
Lyles, Jordan,543475,2020,2501,6.2,-58,
Milone, Tommy,543548,2020,2427,-3.5,-51.5,
Roark, Tanner,543699,2020,2760,11.6,-67.1,
Weber, Ryan,543901,2020,2309,17.3,-53.8,
Bauer, Trevor,545333,2020,2926,8.8,-63.6,
Tanaka, Masahiro,547888,2020,2370,7.2,-53.7,
Kim, Kwang Hyun,547942,2020,2138,-5,-63,
Ryu, Hyun Jin,547943,2020,2539,-13.1,-66.5,
Stripling, Ross,548389,2020,2652,4.1,-60.5,
Wheeler, Zack,554430,2020,2621,10.8,-55.6,
Boyd, Matthew,571510,2020,2506,-12.9,-65,
Corbin, Patrick,571578,2020,1852,-3.1,-66.9,
Fiers, Mike,571666,2020,2675,10.6,-68.3,
Heaney, Andrew,571760,2020,2550,-5.7,-47.1,
Richards, Garrett,572070,2020,3299,10.5,-62.8,
Keuchel, Dallas,572971,2020,,,,
Kikuchi, Yusei,579328,2020,,,,
Gausman, Kevin,592332,2020,,,,
Gray, Jon,592351,2020,2568,9.8,-50.5,
Ray, Robbie,592662,2020,2194,-0.6,-41,
Velasquez, Vince,592826,2020,2387,4.4,-50.1,
Walker, Taijuan,592836,2020,2454,9.4,-65.2,
Williams, Trevor,592866,2020,2284,9.1,-48.1,
Wojciechowski, Asher,592879,2020,2373,15.3,-47.4,
Montas, Frankie,593423,2020,,,,
deGrom, Jacob,594798,2020,2632,7.2,-42.8,
Gonzales, Marco,594835,2020,2294,-8.9,-62.1,
Weaver, Luke,596133,2020,2273,3.4,-53,
Bassitt, Chris,605135,2020,2185,12.2,-71,
Bundy, Dylan,605164,2020,2349,8.1,-63.9,
Clevinger, Mike,605182,2020,2304,3.7,-54.9,
Davies, Zach,605200,2020,2509,9.6,-60.8,
Houser, Adrian,605288,2020,2019,4.9,-56.3,
Lopez, Jorge,605347,2020,2339,7.2,-53.1,
Musgrove, Joe,605397,2020,2712,10.7,-54.6,
Nola, Aaron,605400,2020,2499,15.1,-54.8,
