year,last_name, first_name,pitcher_id,team_name,team_name_abbrev,pitch_hand,avg_speed,pitches_thrown,total_pitches,pitches_per_game,pitch_per,pitch_type,pitch_type_name,pitcher_break_z,league_break_z,diff_z,rise,pitcher_break_x,league_break_x,diff_x,tail,percent_rank_diff_z,percent_rank_diff_x
2021,Rogers, Trevor,669432,Marlins,MIA,L,94.5,1249,2169,13.38888888888889,0.5758414015675426,FF,4-Seamer,16,-14.4,-1.6,-11,11.1,-7.3,3.7,51,0.19714964370546317,0.8741092636579573
2021,Eovaldi, Nathan,543135,Red Sox,BOS,R,96.8,1235,2927,18.067901234567902,0.4219337205329689,FF,4-Seamer,14.9,-13.5,-1.4,-10,12.2,-8.3,3.9,46,0.22802850356294538,0.8931116389548693
2021,Richards, Garrett,572070,Red Sox,BOS,R,94.3,1234,2331,14.38888888888889,0.5293865293865294,FF,4-Seamer,22,-15.1,-6.9,-45,1.3,-7.7,-9,-117,0,0.0023752969121140144
2021,Snell, Blake,605483,Padres,SD,L,95.1,1228,2347,14.487654320987655,0.5232211333617384,FF,4-Seamer,11.5,-12.9,1.4,11,5.7,-6.1,-0.4,-6,0.8218527315914489,0.4014251781472684
2021,McKenzie, Triston,663474,Indians,CLE,R,92.1,1215,1975,12.191358024691358,0.6151898734177215,FF,4-Seamer,12.5,-15,2.5,17,3.4,-6.1,-2.7,-44,0.9548693586698337,0.1828978622327791
2021,Gray, Jon,592351,Rockies,COL,R,94.9,1205,2537,15.75776397515528,0.4749704375246354,FF,4-Seamer,19.2,-14.9,-4.3,-29,12.9,-8.1,4.8,58,0.035629453681710214,0.9382422802850356
2021,Miley, Wade,489119,Reds,CIN,L,85.4,1204,2592,16,0.4645061728395062,FC,Cutter,30.4,-30.4,0,0,4,3.6,0.4,10,0.528,0.56
2021,Hendricks, Kyle,543294,Cubs,CHC,R,87.3,1187,2809,17.339506172839506,0.42257030971876114,SIFT,Sinker,26.5,-26.3,0.3,1,13.7,-14.2,-0.5,-3,0.5860655737704918,0.3442622950819672
2021,Hill, Rich,448179,Mets,NYM,L,88.1,1176,2496,15.407407407407407,0.47115384615384615,FF,4-Seamer,16.1,-18.1,1.9,11,9.2,-6.3,2.9,45,0.8859857482185273,0.8171021377672208
2021,Taillon, Jameson,592791,Yankees,NYY,R,93.9,1170,2372,14.641975308641975,0.49325463743676223,FF,4-Seamer,13.2,-14.3,1.1,8,3.4,-6.8,-3.4,-51,0.7577197149643705,0.1377672209026128
2021,Lyles, Jordan,543475,Rangers,TEX,R,93,1169,2964,18.296296296296298,0.39439946018893385,FF,4-Seamer,13.6,-14.7,1.1,8,7,-6.6,0.4,5,0.7577197149643705,0.5225653206650831
2021,Stroman, Marcus,573186,Mets,NYM,R,91.9,1160,2741,16.919753086419753,0.4232032105071142,SIFT,Sinker,27.9,-24.9,3,12,9.8,-14.9,-5.2,-35,0.8442622950819673,0.00819672131147541
2021,Peralta, Freddy,642547,Brewers,MIL,R,93.4,1158,2356,14.54320987654321,0.49151103565365023,FF,4-Seamer,14.9,-16.3,1.4,9,7,-8,-1,-12,0.8218527315914489,0.35629453681710216
2021,Paddack, Chris,663978,Padres,SD,R,94.8,1149,1869,11.537037037037036,0.6147672552166934,FF,4-Seamer,13.1,-13.4,0.3,2,9.5,-6.4,3.2,50,0.5795724465558195,0.836104513064133
2021,Bubic, Kris,663460,Royals,KC,L,90.9,1136,2202,13.592592592592593,0.5158946412352406,FF,4-Seamer,17.7,-16.6,-1.1,-6,6.2,-6.8,-0.7,-10,0.2921615201900237,0.37292161520190026
2021,Gallen, Zac,668678,D-backs,ARI,R,93.4,1128,2102,12.975308641975309,0.5366317792578497,FF,4-Seamer,14.1,-14.9,0.7,5,3.4,-7,-3.6,-51,0.672209026128266,0.1187648456057007
2021,Flexen, Chris,623167,Mariners,SEA,R,92.8,1124,2811,17.35185185185185,0.39985770188545,FF,4-Seamer,13.5,-14,0.5,4,2,-5.8,-3.8,-65,0.6199524940617577,0.10451306413301663
2021,Nola, Aaron,605400,Phillies,PHI,R,92.9,1121,2971,18.339506172839506,0.3773140356782228,FF,4-Seamer,17.6,-16.5,-1.1,-6,13.3,-8.1,5.2,64,0.2921615201900237,0.9643705463182898
2021,Means, John,607644,Orioles,BAL,L,92.8,1117,2328,14.37037037037037,0.4798109965635739,FF,4-Seamer,11.9,-14.5,2.6,18,6.7,-6.3,0.4,6,0.9691211401425178,0.5225653206650831
2021,Minor, Mike,501985,Royals,KC,L,90.9,1116,2621,16.179012345679013,0.4257916825639069,FF,4-Seamer,18.2,-16.4,-1.8,-11,1.9,-7.2,-5.3,-73,0.171021377672209,0.03800475059382423
2021,Garcia, Luis,677651,Astros,HOU,R,93.3,1116,2502,15.444444444444445,0.4460431654676259,FF,4-Seamer,13,-15.1,2.1,14,5,-7,-2,-28,0.8978622327790974,0.2517814726840855
2021,Hill, Rich,448179,Mets,NYM,L,71.4,1105,2496,15.407407407407407,0.4427083333333333,CUKC,Curveball,65.4,-64,1.5,2,20.1,14.3,5.7,40,0.549407114624506,0.9525691699604744
2021,Morton, Charlie,450203,Braves,ATL,R,80.6,1096,2987,18.5527950310559,0.3669233344492802,CUKC,Curveball,52.5,-50.7,1.9,4,16.6,10.7,5.9,55,0.5928853754940712,0.9644268774703557
2021,Irvin, Cole,608344,Athletics,OAK,L,90.8,1091,2682,16.555555555555557,0.40678598061148397,FF,4-Seamer,16.6,-16,-0.6,-4,8.2,-6.4,1.8,28,0.4085510688836104,0.7030878859857482
2021,Skubal, Tarik,669373,Tigers,DET,L,94.3,1090,2547,15.722222222222221,0.4279544562230075,FF,4-Seamer,14.8,-14.1,-0.7,-5,8.3,-6.7,1.6,24,0.3847980997624703,0.667458432304038
