last_name, first_name,player_id,year,p_era,xba,fastball_avg_spin,breaking_avg_spin,
Kelly, Merrill,518876,2021,4.44,.260,2320,2565,
Kimbrel, Craig,518886,2021,2.26,.157,2300,2557,
McFarland, T.J.,519008,2021,2.56,.248,1953,2295,
Moore, Matt,519043,2021,6.29,.252,2272,2203,
Nelson, Jimmy,519076,2021,1.86,.139,2613,2952,
Pomeranz, Drew,519141,2021,1.75,.211,2507,2237,
Pressly, Ryan,519151,2021,2.25,.194,2563,2906,
Sale, Chris,519242,2021,3.16,.232,2286,2246,
Smith, Will,519293,2021,3.44,.194,2238,2268,
Strickland, Hunter,519326,2021,2.61,.205,2352,2767,
Workman, Brandon,519443,2021,5.46,.314,2059,2501,
Hendriks, Liam,521230,2021,2.54,.164,2393,2189,
Kelly, Joe,523260,2021,2.86,.200,2080,2888,
Perez, Martin,527048,2021,4.74,.280,2125,2459,
Castellanos, Humberto,528748,2021,4.93,.234,2021,2276,
Shoemaker, Matt,533167,2021,8.06,.286,2184,2070,
Ramirez, Erasmo,541640,2021,5.74,.233,2222,2361,
Cisnero, Jose,542585,2021,3.65,.224,2355,2524,
Anderson, Tyler,542881,2021,4.53,.259,2354,2417,
Andriese, Matt,542882,2021,5.21,.285,2328,2678,
Armstrong, Shawn,542888,2021,6.75,.243,2533,2704,
Bass, Anthony,542914,2021,3.82,.256,1987,2194,
Bleier, Richard,542947,2021,2.95,.240,1983,2015,
Brach, Brad,542960,2021,6.30,.233,2182,2538,
Chatwood, Tyler,543022,2021,5.63,.228,2528,2878,
Cole, Gerrit,543037,2021,3.23,.195,2447,2678,
Conley, Adam,543045,2021,2.29,.219,2340,2258,
Coulombe, Danny,543056,2021,3.67,.225,2232,2416,
DeSclafani, Anthony,543101,2021,3.17,.242,2194,2154,
Eovaldi, Nathan,543135,2021,3.75,.231,2151,2114,
Gray, Sonny,543243,2021,4.19,.210,2386,2697,
Hand, Brad,543272,2021,3.90,.241,2359,2283,
Hendricks, Kyle,543294,2021,4.77,.268,1860,2844,
Hudson, Daniel,543339,2021,3.31,.199,2313,2434,
Jackson, Jay,543351,2021,3.74,.205,2284,2372,
Lyles, Jordan,543475,2021,5.15,.275,2278,2645,
May, Trevor,543507,2021,3.59,.192,2369,2503,
McHugh, Collin,543521,2021,1.55,.201,2443,2788,
Milone, Tommy,543548,2021,6.43,.295,2106,2256,
Nolin, Sean,543594,2021,4.39,.237,2063,1775,
Odorizzi, Jake,543606,2021,4.21,.254,2105,2046,
Shaw, Bryan,543766,2021,3.49,.250,2400,2495,
Familia, Jeurys,544727,2021,3.94,.224,2249,2278,
Strasburg, Stephen,544931,2021,4.57,.246,2077,2718,
Bauer, Trevor,545333,2021,2.59,.176,2789,2977,
Head, Louis,545343,2021,2.31,.188,2254,2675,
Poteet, Cody,547001,2021,4.99,.235,2422,2875,
Lorenzen, Michael,547179,2021,5.59,.247,2437,2539,
Kim, Kwang Hyun,547942,2021,3.46,.253,2131,2119,
Ryu, Hyun Jin,547943,2021,4.37,.264,1965,2494,
Chapman, Aroldis,547973,2021,3.36,.175,2376,2278,
Raley, Brooks,548384,2021,4.78,.229,2457,2862,
Stripling, Ross,548389,2021,4.80,.253,2177,2421,
Kittredge, Andrew,552640,2021,1.88,.220,2416,2723,
Garcia, Yimi,554340,2021,4.21,.252,2507,2600,
Wheeler, Zack,554430,2021,2.78,.210,2332,2464,
Matzek, Tyler,554431,2021,2.57,.185,2437,2898,
Rodriguez, Joely,570257,2021,4.66,.241,2013,2168,
Valdez, Phillips,570488,2021,5.85,.226,2262,2311,
Urena, Jose,570632,2021,5.81,.285,2134,2270,
Robles, Hansel,570663,2021,4.43,.229,2289,2330,
Cessa, Luis,570666,2021,2.51,.244,2197,2475,
Boyd, Matthew,571510,2021,3.89,.223,2324,2409,
Brothers, Rex,571521,2021,5.26,.238,2107,2092,
Corbin, Patrick,571578,2021,5.82,.282,2123,2205,
Farmer, Buck,571656,2021,6.37,.270,2283,2678,
Floro, Dylan,571670,2021,2.81,.236,2200,2018,
Frankoff, Seth,571676,2021,9.20,.255,2411,2522,
Givens, Mychal,571710,2021,3.35,.237,2527,2640,
Hale, David,571735,2021,6.41,.290,2219,2304,
Heaney, Andrew,571760,2021,5.83,.230,2446,2574,
Hutchison, Drew,571800,2021,2.11,.234,2142,2526,
Krol, Ian,571871,2021,4.34,.208,2339,2430,
Law, Derek,571882,2021,4.20,.263,2134,2268,
Loup, Aaron,571901,2021,0.95,.220,2294,2475,
Matz, Steven,571927,2021,3.82,.253,2184,2252,
Mikolas, Miles,571945,2021,4.23,.264,2266,2466,
Miller, Shelby,571946,2021,9.24,.275,2338,2315,
Milner, Hoby,571948,2021,5.40,.306,1969,1865,
Richards, Garrett,572070,2021,4.87,.262,2459,2847,
Selman, Sam,572125,2021,5.76,.245,2347,2451,
Smith, Burch,572143,2021,5.40,.282,2277,2401,
Tepera, Ryan,572193,2021,2.79,.160,2237,2347,
Greene, Shane,572888,2021,7.23,.208,2266,2577,
Johnson, Pierce,572955,2021,3.22,.201,2233,2886,
Keuchel, Dallas,572971,2021,5.28,.302,2078,2374,
Mantiply, Joe,573009,2021,3.40,.250,2206,2352,
Rogers, Taylor,573124,2021,3.35,.208,2055,2551,
Stroman, Marcus,573186,2021,3.02,.262,2369,2673,
Thielbar, Caleb,573204,2021,3.23,.222,2309,2381,
Minaya, Juan,573668,2021,2.48,.195,2236,2179,
Kikuchi, Yusei,579328,2021,4.41,.260,2257,2404,
Adam, Jason,592094,2021,5.91,.170,2605,2704,
Bedrosian, Cam,592135,2021,5.04,.258,2265,2414,
Biddle, Jesse,592145,2021,8.44,.191,2612,2626,
Brice, Austin,592169,2021,6.59,.229,2206,2695,
Claudio, Alex,592222,2021,5.51,.259,1866,2164,
Crichton, Stefan,592233,2021,7.33,.236,1868,2549,
De Leon, Jose,592254,2021,8.35,.233,2058,2371,
Emanuel, Kent,592288,2021,2.55,.207,2055,2321,
Foltynewicz, Mike,592314,2021,5.44,.254,2130,2386,
Gausman, Kevin,592332,2021,2.81,.230,2283,2240,
Gonzalez, Chi Chi,592346,2021,6.46,.312,2360,2531,
Gray, Jon,592351,2021,4.59,.236,2152,2434,
Hembree, Heath,592390,2021,5.59,.183,2452,2861,
Jackson, Luke,592426,2021,1.98,.228,2206,2341,
Kolarek, Adam,592473,2021,8.00,.287,2174,1946,
Osich, Josh,592612,2021,5.02,.235,2243,2183,
Plutko, Adam,592644,2021,6.71,.281,2306,2662,
Ray, Robbie,592662,2021,2.84,.218,2272,2176,
Sampson, Adrian,592716,2021,2.80,.242,1984,2542,
Sanchez, Aaron,592717,2021,3.06,.233,2023,2485,
Shreve, Chasen,592741,2021,3.20,.205,2319,2249,
Smith, Caleb,592761,2021,4.83,.204,2420,2435,
Smyly, Drew,592767,2021,4.48,.257,2068,2100,
Stanek, Ryne,592773,2021,3.42,.207,2231,2422,
Taillon, Jameson,592791,2021,4.30,.229,2407,2623,
Velasquez, Vince,592826,2021,6.30,.244,2356,2443,
Wade, Konner,592831,2021,11.68,.315,2075,1868,
Walker, Taijuan,592836,2021,4.47,.245,2061,2398,
Wick, Rowan,592858,2021,4.30,.205,2283,2482,
Williams, Taylor,592865,2021,4.63,.258,2320,2583,
Williams, Trevor,592866,2021,4.35,.263,2167,2238,
Feliz, Michael,593140,2021,7.20,.283,2184,2283,
Rodriguez, Richard,593144,2021,2.94,.237,2440,2197,
German, Domingo,593334,2021,4.58,.239,2448,2614,
Martinez, Carlos,593372,2021,6.23,.277,2069,2055,
Montas, Frankie,593423,2021,3.37,.236,2353,2467,
Neris, Hector,593576,2021,3.63,.185,2309,1954,
Tapia, Domingo,593619,2021,2.67,.251,2160,2345,
Suero, Wander,593833,2021,6.33,.267,2522,2677,
Rodriguez, Eduardo,593958,2021,4.74,.233,2170,2140,
Peralta, Wandy,593974,2021,3.35,.238,2168,2289,
Guduan, Reymin,594056,2021,6.28,.333,2304,2056,
Gustave, Jandel,594311,2021,3.44,.280,2289,2422,
Mayers, Mike,594577,2021,3.84,.216,2331,2137,
Dayton, Grant,594795,2021,6.23,.250,2187,2328,
deGrom, Jacob,594798,2021,1.08,.139,2422,2600,
Gonzales, Marco,594835,2021,3.96,.257,2137,2282,
Ponce de Leon, Daniel,594965,2021,6.21,.205,2277,2539,
Ryan, Kyle,594986,2021,6.75,.292,1853,2252,
Sadler, Casey,594987,2021,0.67,.198,2389,2818,
Treinen, Blake,595014,2021,1.99,.189,2368,2416,
Eickhoff, Jerad,595191,2021,8.69,.347,2057,2394,
Okert, Steven,595345,2021,2.75,.173,2227,2460,
Sherriff, Ryan,595411,2021,5.52,.210,2136,2545,
Winkler, Dan,595465,2021,5.22,.206,2537,2617,
Curtiss, John,595928,2021,3.45,.242,2271,2609,
Ellis, Chris,595939,2021,2.15,.264,2365,2386,
Junis, Jakob,596001,2021,5.26,.282,2259,2447,
Maples, Dillon,596027,2021,2.59,.186,2641,2922,
Morimando, Shawn,596049,2021,9.58,.264,2319,2283,
Norris, Daniel,596057,2021,6.16,.234,2392,2614,
Peters, Dillon,596071,2021,3.71,.250,2222,2812,
Stephenson, Robert,596112,2021,3.13,.228,2521,3021,
Weaver, Luke,596133,2021,4.25,.254,2451,2365,
Gomber, Austin,596295,2021,4.53,.239,2028,2382,
Barnes, Matt,598264,2021,3.79,.171,2277,2111,
Ramirez, Nick,598286,2021,5.75,.257,2047,2225,
Ramirez, Noe,598287,2021,3.00,.192,2210,2566,
Machado, Andres,600921,2021,3.53,.223,2088,2015,
Pivetta, Nick,601713,2021,4.53,.197,2297,2525,
Barlow, Scott,605130,2021,2.42,.215,2304,2439,
Bassitt, Chris,605135,2021,3.15,.227,2156,2331,
Benjamin, Wes,605138,2021,8.74,.253,2298,2458,
Bradley, Archie,605151,2021,3.71,.226,2099,1948,
Brebbia, John,605154,2021,5.89,.244,2257,2487,
Bundy, Dylan,605164,2021,6.06,.238,2423,2563,
Chafin, Andrew,605177,2021,1.83,.206,2120,2407,
Cotton, Jharel,605194,2021,3.52,.186,2295,2492,
Crick, Kyle,605195,2021,4.44,.222,2298,3295,
Davies, Zach,605200,2021,5.78,.294,2028,2456,
Fulmer, Michael,605242,2021,2.97,.237,2200,2419,
Hess, David,605276,2021,9.90,.307,2085,2418,
Holmes, Clay,605280,2021,3.60,.199,2216,2527,
Houser, Adrian,605288,2021,3.22,.240,2065,1959,
Lopez, Jorge,605347,2021,6.07,.275,1971,2349,
Marshall, Evan,605359,2021,5.60,.225,2400,2712,
Morgan, Adam,605388,2021,4.26,.201,2297,2828,
Musgrove, Joe,605397,2021,3.18,.226,2596,2791,
Nola, Aaron,605400,2021,4.63,.223,2182,2529,
Rios, Yacksel,605441,2021,4.28,.219,2087,2064,
Romano, Jordan,605447,2021,2.14,.173,2389,2222,
Ross, Joe,605452,2021,4.17,.247,2098,1918,
Snell, Blake,605483,2021,4.20,.233,2399,2361,
Springs, Jeffrey,605488,2021,3.43,.209,2284,2308,
Thompson, Zach,605507,2021,3.24,.227,2453,2267,
Turnbull, Spencer,605513,2021,2.88,.206,2403,2546,
Warren, Art,605521,2021,1.29,.139,2193,2593,
Wendelken, J.B.,605525,2021,4.33,.261,2357,2593,
Wisler, Matt,605538,2021,3.70,.189,2110,2525,
Woodruff, Brandon,605540,2021,2.56,.226,2326,2614,
Wright Jr., Mike,605541,2021,5.50,.257,2163,2247,
Gallegos, Giovanny,606149,2021,3.02,.206,2350,2480,
Montero, Rafael,606160,2021,6.39,.231,2231,2301,
Payamps, Joel,606303,2021,3.40,.214,2377,2573,
Garcia, Jarlin,606424,2021,2.62,.222,2215,2305,
Barnes, Jacob,606930,2021,6.28,.213,2356,,
Rodon, Carlos,607074,2021,2.37,.181,2292,2443,
Faria, Jake,607188,2021,5.51,.225,2103,2201,
Glasnow, Tyler,607192,2021,2.66,.188,2424,2835,
Fedde, Erick,607200,2021,5.47,.263,1940,2282,
Romano, Sal,607219,2021,6.12,.285,2087,2232,
Gsellman, Robert,607229,2021,3.77,.273,2003,2171,
Gant, John,607231,2021,4.09,.259,2457,2536,
Garrett, Amir,607237,2021,6.04,.233,2244,1805,
Patton, Spencer,607359,2021,3.83,.210,2037,1985,
Mazza, Chris,607391,2021,4.61,.243,2072,2336,
Banda, Anthony,607455,2021,4.28,.229,2111,2045,
Barraclough, Kyle,607457,2021,5.54,.191,2370,2401,
Bummer, Aaron,607481,2021,3.51,.180,2030,2470,
Freeland, Kyle,607536,2021,4.33,.247,2383,2377,
Harper, Ryne,607560,2021,4.04,.226,1822,2151,
Howard, Sam,607572,2021,5.60,.196,2369,2331,
Lugo, Seth,607625,2021,3.50,.248,2249,2971,
Means, John,607644,2021,3.62,.242,2399,2294,
Estevez, Carlos,608032,2021,4.38,.258,2164,2348,
De Jong, Chase,608328,2021,5.77,.275,2435,2541,
Fried, Max,608331,2021,3.04,.234,2088,2574,
Fulmer, Carson,608334,2021,6.66,.243,2408,2714,
Funkhouser, Kyle,608335,2021,3.42,.233,2081,2431,
Giolito, Lucas,608337,2021,3.53,.220,2345,2069,
Irvin, Cole,608344,2021,4.24,.282,1935,2018,
Knebel, Corey,608349,2021,2.45,.201,2403,2792,
Sims, Lucas,608371,2021,4.40,.168,2581,3019,
Wacha, Michael,608379,2021,5.05,.282,2080,2191,
Marquez, German,608566,2021,4.40,.249,2075,2526,
Chargois, JT,608638,2021,2.52,.223,2240,2247,
Duffey, Tyler,608648,2021,3.18,.228,2282,2482,
Enns, Dietrich,608650,2021,2.82,.209,2192,2110,
Farrell, Luke,608652,2021,4.74,.284,2379,2554,
Graveman, Kendall,608665,2021,1.77,.228,2214,2500,
Leone, Dominic,608678,2021,1.51,.212,2306,2483,
Steckenrider, Drew,608716,2021,2.00,.229,2362,2155,
Stratton, Chris,608717,2021,3.63,.223,2610,3029,
Suter, Brent,608718,2021,3.07,.235,2161,2294,
Voth, Austin,608723,2021,5.34,.284,2373,2993,
Castro, Miguel,612434,2021,3.45,.212,2278,2981,
Adams, Austin,613534,2021,4.10,.165,2571,2836,
Ruiz, Jose,614179,2021,3.05,.243,2329,2393,
Quantrill, Cal,615698,2021,2.89,.239,2109,2239,
Sawamura, Hirokazu,617228,2021,3.06,.212,2112,2289,
Reyes, Alex,621052,2021,3.24,.185,2339,2640,
Garza, Justin,621057,2021,4.71,.285,2276,2409,
Rucker, Michael,621074,2021,6.99,.266,2321,2564,
Kaprielian, James,621076,2021,4.07,.239,2029,2326,
Eflin, Zach,621107,2021,4.17,.257,2060,2165,
Buehler, Walker,621111,2021,2.47,.218,2493,2829,
Blackburn, Paul,621112,2021,5.87,.301,2155,2579,
Burr, Ryan,621114,2021,2.45,.223,2140,2496,
McCullers Jr., Lance,621121,2021,3.16,.209,2132,2859,
Cody, Kyle,621129,2021,7.94,.295,2072,2422,
Kriske, Brooks,621139,2021,14.29,.230,2208,2253,
Mills, Alec,621219,2021,5.07,.263,2157,2429,
Alvarado, Jose,621237,2021,4.20,.194,2102,2448,
Diaz, Edwin,621242,2021,3.45,.172,2285,2215,
Berrios, Jose,621244,2021,3.52,.242,2180,2338,
Garza Jr., Ralph,621248,2021,3.56,.237,2167,2408,
Underwood Jr., Duane,621249,2021,4.33,.275,2140,2385,
Wittgren, Nick,621295,2021,5.05,.287,2096,2366,
Minter, A.J.,621345,2021,3.78,.213,2447,,
Clay, Sam,621348,2021,5.60,.269,1926,2539,
Borucki, Ryan,621366,2021,4.94,.234,2354,2527,
Hearn, Taylor,621368,2021,4.66,.256,2238,2203,
Castro, Anthony,621593,2021,4.74,.218,2486,2732,
Young, Alex,622065,2021,6.58,.284,2291,2331,
Wood, Alex,622072,2021,3.83,.239,2098,2117,
Almonte, Yency,622075,2021,7.55,.251,2100,2333,
Antone, Tejay,622088,2021,2.14,.198,2677,2922,
Zimmer, Kyle,622092,2021,4.83,.227,2249,2076,
Smith, Drew,622098,2021,2.40,.214,2510,2724,
Sborz, Josh,622250,2021,3.97,.226,2339,2089,
Staumont, Josh,622251,2021,2.88,.222,2244,2733,
Tate, Dillon,622253,2021,4.39,.239,1953,2399,
Rodriguez, Jefry,622446,2021,5.92,.272,2327,2304,
Castillo, Luis,622491,2021,3.98,.232,2241,2441,
Crismatt, Nabil,622503,2021,3.76,.246,2127,2260,
Senzatela, Antonio,622608,2021,4.42,.268,2096,2094,
Hernandez, Elieser,622694,2021,4.18,.248,2127,2169,
Diaz, Miguel,622766,2021,3.64,.254,2188,2247,
Perdomo, Angel,622780,2021,6.35,.171,2495,2660,
Sewald, Paul,623149,2021,3.06,.182,2444,2175,
Flexen, Chris,623167,2021,3.61,.260,2187,2706,
Hader, Josh,623352,2021,1.23,.153,2069,2494,
Wieck, Brad,623364,2021,0.00,.165,2297,2316,
Anderson, Drew,623454,2021,3.27,.258,2131,2460,
Phillips, Evan,623465,2021,3.38,.285,2222,2361,
Herget, Jimmy,623474,2021,5.30,.247,2231,2586,
Goudeau, Ashton,623485,2021,4.19,.223,2058,2321,
Suarez, Ranger,624133,2021,1.36,.201,1876,2058,
Thompson, Keegan,624522,2021,3.38,.252,2411,2546,
Gonzalez, Victor,624647,2021,3.57,.252,2232,2502,
Lopez, Reynaldo,625643,2021,3.43,.236,2225,2250,
Thorpe, Lewis,626929,2021,4.70,.271,1957,1998,
Maeda, Kenta,628317,2021,4.66,.232,2255,2525,
Iglesias, Raisel,628452,2021,2.57,.174,2355,2578,
Urias, Julio,628711,2021,2.96,.219,2499,2885,
Crowe, Wil,640444,2021,5.48,.255,2360,2633,
Finnegan, Kyle,640448,2021,3.55,.218,2058,2116,
Manaea, Sean,640455,2021,3.91,.249,1996,2014,
Puk, A.J.,640462,2021,6.08,.257,2173,2221,
Stewart, Kohl,640464,2021,5.27,.280,2176,2562,
Alzolay, Adbert,640470,2021,4.58,.249,2259,2611,
Lopez, Pablo,641154,2021,3.07,.229,2109,2487,
Alexander, Tyler,641302,2021,3.81,.250,2243,2342,
Anderson, Shaun,641312,2021,8.49,.265,2515,2765,
Bickford, Phil,641360,2021,2.81,.208,2342,2324,
Bowden, Ben,641386,2021,6.56,.240,2409,2169,
Brentz, Jake,641394,2021,3.66,.209,2250,2230,
Brogdon, Connor,641401,2021,3.43,.206,2277,,
Castano, Daniel,641447,2021,4.87,.301,2195,2405,
Cortes Jr., Nestor,641482,2021,2.90,.213,2266,2450,
Dunning, Dane,641540,2021,4.51,.265,2057,2071,
Duplantier, Jon,641541,2021,13.15,.280,2159,2288,
Foster, Matt,641582,2021,6.00,.276,2299,2274,
Greene, Conner,641632,2021,7.11,.251,2333,2366,
Hendrix, Ryan,641682,2021,5.97,.271,2223,2421,
Jefferies, Daulton,641726,2021,3.60,.253,2101,2485,
Jimenez, Joe,641729,2021,5.96,.158,2494,2278,
Kay, Anthony,641743,2021,5.61,.254,2397,2442,
Keller, Brad,641745,2021,5.39,.292,2251,2582,
Kinley, Tyler,641755,2021,4.73,.230,2379,2618,
Kuhl, Chad,641771,2021,4.82,.242,2082,2453,
Lauer, Eric,641778,2021,3.19,.231,2282,2353,
Littell, Zack,641793,2021,2.92,.223,2062,2158,
Mahle, Tyler,641816,2021,3.75,.229,2335,2519,
Mayza, Tim,641835,2021,3.40,.228,2057,2176,
McGowin, Kyle,641851,2021,4.20,.200,2345,2731,
Middleton, Keynan,641871,2021,4.94,.251,2379,2406,
Murphy, Patrick,641907,2021,5.14,.271,2128,2186,
Ober, Bailey,641927,2021,4.19,.252,2177,2210,
Pagan, Emilio,641941,2021,4.83,.228,2450,,
Rogers, Josh,642028,2021,3.28,.266,2078,2170,
Saucedo, Tayler,642048,2021,4.56,.248,2388,2432,
Sheffield, Jordan,642068,2021,3.38,.203,2588,2859,
Sherfy, James,642073,2021,4.20,.250,2261,2676,
Slegers, Aaron,642083,2021,6.97,.249,1971,2100,
Smith, Riley,642092,2021,6.01,.274,2234,2267,
Sulser, Cole,642121,2021,2.70,.208,2290,2284,
Taylor, Blake,642130,2021,3.16,.202,2319,2271,
Trivino, Lou,642152,2021,3.18,.232,2062,2382,
Widener, Taylor,642203,2021,4.35,.249,2143,2239,
Williams, Devin,642207,2021,2.50,.175,2254,,
Yarbrough, Ryan,642232,2021,5.11,.272,2047,2270,
Yardley, Eric,642233,2021,6.75,.281,2062,2732,
Soto, Gregory,642397,2021,3.39,.195,2391,2341,
Loaisiga, Jonathan,642528,2021,2.17,.188,2352,2637,
Barria, Jaime,642545,2021,4.61,.302,2250,2193,
Peralta, Freddy,642547,2021,2.81,.174,2369,2250,
Santana, Dennis,642701,2021,4.28,.262,2429,2659,
Brault, Steven,643230,2021,5.86,.276,2031,2211,
Cimber, Adam,643256,2021,2.26,.239,2174,2413,
Dunn, Justin,643290,2021,3.75,.230,2357,2501,
Fry, Paul,643316,2021,6.08,.216,2329,2742,
Green, Chad,643338,2021,3.12,.206,2502,2580,
Jax, Griffin,643377,2021,6.37,.251,2306,2786,
Rogers, Tyler,643511,2021,2.22,.233,1856,2240,
Zeuch, T.J.,643615,2021,6.60,.318,2178,1970,
Webb, Tyler,643778,2021,13.22,.270,2105,2261,
Alcantara, Sandy,645261,2021,3.19,.233,2287,2363,
Diaz, Jhonathan,646242,2021,4.15,.275,2072,2739,
Pop, Zach,647315,2021,4.12,.232,2144,2461,
Wells, Alexander,649144,2021,6.75,.270,2141,2398,
Madero, Luis,650347,2021,9.00,.242,2275,2541,
Hernandez, Darwinzon,650382,2021,3.38,.198,2317,2606,
Mejia, J.C.,650496,2021,8.25,.284,2126,2516,
Garcia, Bryan,650530,2021,7.55,.290,2108,2277,
Abreu, Bryan,650556,2021,5.75,.250,2215,2610,
King, Michael,650633,2021,3.55,.250,2303,2496,
Civale, Aaron,650644,2021,3.84,.263,2397,2780,
Mejia, Humberto,650668,2021,7.25,.299,2172,2363,
Quijada, Jose,650671,2021,4.56,.236,2262,2550,
Santana, Edgar,650828,2021,3.59,.254,2200,2209,
Cabrera, Genesis,650893,2021,3.73,.207,2276,2436,
Castillo, Diego,650895,2021,2.78,.192,1990,2260,
Sanchez, Cristopher,650911,2021,4.97,.193,2065,2049,
Diplan, Marcos,650959,2021,4.50,.222,2240,2745,
Rodriguez, Manuel,655889,2021,6.11,.249,2118,2255,
Abreu, Albert,656061,2021,5.15,.233,2148,2211,
Barnes, Charlie,656212,2021,5.92,.289,1828,2379,
Bielak, Brandon,656232,2021,4.50,.246,2394,2433,
Bukauskas, J.B.,656266,2021,7.79,.250,2312,2375,
Canning, Griffin,656288,2021,5.60,.249,2265,2548,
Cease, Dylan,656302,2021,3.91,.210,2543,2838,
Coonrod, Sam,656322,2021,4.04,.225,2158,2515,
Davidson, Tucker,656353,2021,3.60,.277,2028,2287,
Davis, Austin,656354,2021,5.13,.248,2163,2288,
Feyereisen, J.P.,656420,2021,2.73,.203,2492,2772,
Flaherty, Jack,656427,2021,3.22,.234,2228,2402,
Gilbert, Tyler,656457,2021,3.15,.225,2175,2402,
