last_name, first_name,player_id,year,p_era,xba,fastball_avg_spin,breaking_avg_spin,
Wainwright, Adam,425794,2021,3.05,.251,2295,2839,
Greinke, Zack,425844,2021,4.16,.260,2223,2357,
Santana, Ervin,429722,2021,4.68,.276,2176,2319,
Kazmir, Scott,431148,2021,6.35,.299,2152,1946,
Petit, Yusmeiro,433589,2021,3.92,.265,2136,2018,
Kintzler, Brandon,445213,2021,6.37,.313,1969,2350,
Jansen, Kenley,445276,2021,2.22,.180,2571,2448,
Chavez, Jesse,445926,2021,2.14,.206,2133,2229,
Detwiler, Ross,446321,2021,4.64,.208,2100,2048,
Kluber, Corey,446372,2021,3.83,.239,2289,2506,
Hill, Rich,448179,2021,3.86,.239,2337,2710,
Doolittle, Sean,448281,2021,4.53,.235,2260,2355,
Guerra, Junior,448855,2021,6.06,.241,2199,2490,
Morton, Charlie,450203,2021,3.34,.216,2301,3054,
Davis, Wade,451584,2021,6.75,.280,2509,2474,
Albers, Andrew,452027,2021,7.58,.352,2112,2287,
Lester, Jon,452657,2021,4.71,.274,2189,2437,
Kennedy, Ian,453178,2021,3.20,.225,2418,2563,
Miller, Andrew,453192,2021,4.75,.241,1918,2475,
Watson, Tony,453265,2021,3.92,.222,2304,2374,
Bard, Daniel,453268,2021,5.21,.235,2687,2910,
LeBlanc, Wade,453281,2021,4.41,.291,1971,2321,
Parker, Blake,453284,2021,3.09,.251,2016,2092,
Scherzer, Max,453286,2021,2.46,.191,2446,2408,
Melancon, Mark,453343,2021,2.23,.263,2255,2599,
Arrieta, Jake,453562,2021,7.39,.286,2084,2440,
Martin, Chris,455119,2021,3.95,.265,2095,2488,
Price, David,456034,2021,4.03,.256,1995,2225,
Cueto, Johnny,456501,2021,4.08,.278,2216,2267,
Happ, J.A.,457918,2021,5.79,.274,2244,2225,
Lindblom, Josh,458676,2021,9.72,.305,2546,2619,
Wilson, Justin,458677,2021,5.29,.227,2290,2627,
Lynn, Lance,458681,2021,2.69,.193,2414,2473,
Tomlin, Josh,458708,2021,6.57,.296,2478,2688,
McGee, Jake,459429,2021,2.72,.217,2143,1911,
Clippard, Tyler,461325,2021,3.20,.263,2216,2110,
Swarzak, Anthony,461872,2021,9.49,.326,2272,2397,
Soria, Joakim,465657,2021,5.06,.231,2336,2751,
Chacin, Jhoulys,468504,2021,4.34,.241,2218,2456,
Carrasco, Carlos,471911,2021,6.04,.257,2228,2453,
Abad, Fernando,472551,2021,5.60,.283,2156,2502,
Garcia, Luis,472610,2021,3.24,.228,2176,2386,
Anderson, Brett,474463,2021,4.22,.287,1760,2329,
Luetge, Lucas,476595,2021,2.74,.243,2553,2735,
Kershaw, Clayton,477132,2021,3.55,.222,2505,2624,
Buchter, Ryan,488748,2021,6.61,.214,2218,1974,
Miley, Wade,489119,2021,3.37,.252,2263,2343,
Romo, Sergio,489265,2021,4.67,.218,2161,2815,
Stammen, Craig,489334,2021,3.06,.241,2231,2349,
Valdez, Cesar,491624,2021,5.87,.286,2069,2368,
Ottavino, Adam,493603,2021,4.21,.192,2359,2741,
Guerra, Deolis,500610,2021,4.11,.203,2298,2250,
Quintana, Jose,500779,2021,6.43,.236,2051,2252,
Pineda, Michael,501381,2021,3.62,.270,1940,1962,
Alvarez, Jose,501625,2021,2.37,.250,2174,2238,
Smith, Joe,501925,2021,4.99,.242,1926,2194,
Minor, Mike,501985,2021,5.05,.237,2543,2626,
Archer, Chris,502042,2021,4.66,.265,2120,2430,
Gibson, Kyle,502043,2021,3.71,.241,2224,2485,
Robertson, David,502085,2021,4.50,.253,2557,2632,
Britton, Zack,502154,2021,5.89,.178,1953,2489,
Cobb, Alex,502171,2021,3.76,.243,2065,2570,
Espino, Paolo,502179,2021,4.27,.271,2216,2866,
Boxberger, Brad,502202,2021,3.34,.201,2383,2449,
Cahill, Trevor,502239,2021,6.57,.268,2195,3022,
Santiago, Hector,502327,2021,3.42,.209,2042,2091,
Miller, Justin,502522,2021,6.16,.311,2271,2560,
Anderson, Chase,502624,2021,6.75,.258,2182,2034,
Holland, Derek,502706,2021,5.07,.239,2358,2091,
Peralta, Wily,503449,2021,3.07,.256,1831,2172,
Dolis, Rafael,503569,2021,5.63,.222,2277,2445,
Darvish, Yu,506433,2021,4.22,.208,2636,2749,
Colome, Alex,517008,2021,4.15,.249,2134,,
Alexander, Scott,518397,2021,2.93,.256,2188,2449,
Brasier, Ryan,518489,2021,1.50,.227,2127,2339,
Bumgarner, Madison,518516,2021,4.67,.244,2347,2463,
Cishek, Steve,518553,2021,3.42,.203,2330,2375,
Diekman, Jake,518617,2021,3.86,.219,2207,2739,
Duffy, Danny,518633,2021,2.51,.246,2260,2494,
Harvey, Matt,518774,2021,6.27,.289,2149,2420,
Holland, Greg,518813,2021,4.85,.255,2237,2129,
Jones, Nate,518858,2021,5.68,.240,2415,2262,
