last_name, first_name,player_id,year,n_fastball_formatted,fastball_avg_speed,fastball_avg_spin,
Perez, Oliver,424144,2020,56.9,89.9,2123,
Wainwright, Adam,425794,2020,59.2,87.6,2253,
Greinke, Zack,425844,2020,43.5,88.1,2327,
Petit, Yusmeiro,433589,2020,71.1,86.7,2134,
Sanchez, Anibal,434671,2020,58.2,88.6,2153,
Rondon, Hector,444468,2020,59.5,95.6,2034,
Kintzler, Brandon,445213,2020,75.8,91.3,1941,
Jansen, Kenley,445276,2020,90.4,91.3,2449,
Chavez, Jesse,445926,2020,80.7,90.2,2192,
Detwiler, Ross,446321,2020,56.9,91.4,2193,
Hill, Rich,448179,2020,51.8,87.3,2390,
Guerra, Junior,448855,2020,60.6,94,2446,
Morton, Charlie,450203,2020,65.2,92.1,2287,
Lester, Jon,452657,2020,73.7,88.4,2247,
Hughes, Jared,453172,2020,59.2,91.4,2026,
Kennedy, Ian,453178,2020,82,92.1,2367,
Miller, Andrew,453192,2020,40,90.2,2106,
Watson, Tony,453265,2020,38.2,89.8,2283,
Bard, Daniel,453268,2020,56.4,97,2671,
LeBlanc, Wade,453281,2020,52.1,85.1,1908,
Parker, Blake,453284,2020,41.3,90.6,1999,
Scherzer, Max,453286,2020,55.6,94,2489,
Melancon, Mark,453343,2020,57.9,91.9,2341,
Arrieta, Jake,453562,2020,52.5,92,2097,
Martin, Chris,455119,2020,63.8,92.8,2151,
Cueto, Johnny,456501,2020,43.7,91.3,2198,
Guerra, Javy,457915,2020,67.1,91.8,2202,
Happ, J.A.,457918,2020,66.3,90.8,2306,
Lindblom, Josh,458676,2020,54.2,88.5,2509,
Wilson, Justin,458677,2020,96.5,93.3,2317,
Lynn, Lance,458681,2020,90.5,92.5,2486,
Tomlin, Josh,458708,2020,69.9,86.3,2504,
McGee, Jake,459429,2020,97,94.9,2272,
Clippard, Tyler,461325,2020,38,89.1,2335,
Gonzalez, Gio,461829,2020,46.8,89.8,2194,
Soria, Joakim,465657,2020,66,92.4,2271,
Nova, Ivan,467100,2020,59.2,92.2,2179,
Carrasco, Carlos,471911,2020,39.5,93.5,2458,
Anderson, Brett,474463,2020,54.5,89.2,2015,
Phelps, David,475479,2020,73.4,92.7,2367,
Betances, Dellin,476454,2020,49,93.6,2194,
Stock, Robert,476594,2020,64,96.8,2218,
Kershaw, Clayton,477132,2020,41.1,91.6,2484,
Hunter, Tommy,488984,2020,76.8,91.7,2499,
Miley, Wade,489119,2020,64.4,86.8,2305,
Romo, Sergio,489265,2020,24.2,85.6,2318,
Stammen, Craig,489334,2020,86.2,91.2,2149,
Valdez, Cesar,491624,2020,15.7,85.5,2131,
Ottavino, Adam,493603,2020,49.3,92.7,2262,
Pineda, Michael,501381,2020,50.1,92.1,1942,
Harris, Will,501789,2020,77.7,90.5,2416,
Minor, Mike,501985,2020,50.7,90.6,2586,
Jeffress, Jeremy,502026,2020,42.9,93.2,2028,
Gibson, Kyle,502043,2020,49.9,92.2,2171,
Britton, Zack,502154,2020,80.3,94.8,2001,
Cobb, Alex,502171,2020,48.1,92.5,2090,
Samardzija, Jeff,502188,2020,56.4,89.4,2578,
Boxberger, Brad,502202,2020,55.2,92.5,2483,
Cahill, Trevor,502239,2020,47.1,89.4,2168,
Anderson, Chase,502624,2020,60.4,90.7,2272,
Holland, Derek,502706,2020,46.7,92.3,2438,
O'Day, Darren,503285,2020,57.1,85.9,2287,
Dolis, Rafael,503569,2020,61.1,94.7,2235,
Darvish, Yu,506433,2020,63.8,90.1,2698,
Colome, Alex,517008,2020,100,90.8,2139,
Alexander, Scott,518397,2020,83.2,93.1,2191,
Brasier, Ryan,518489,2020,62,96.2,2254,
Bumgarner, Madison,518516,2020,76.1,86.1,2441,
Cishek, Steve,518553,2020,47.6,90.3,2314,
Diekman, Jake,518617,2020,59.3,95.1,2239,
Duffy, Danny,518633,2020,53.6,92.1,2159,
Harvey, Matt,518774,2020,53,94,2139,
Holland, Greg,518813,2020,37.4,92.9,2313,
Jones, Nate,518858,2020,53.5,95.8,2457,
Kelly, Merrill,518876,2020,62.4,91.6,2384,
Kimbrel, Craig,518886,2020,62.3,96.9,2262,
McFarland, T.J.,519008,2020,59.8,88.5,1952,
Pomeranz, Drew,519141,2020,79.6,94.6,2474,
Porcello, Rick,519144,2020,53.1,90.4,2176,
